v1	V(v1)	V(vo1)	V(vo2)
-1.000000000000000e+001	-1.000000e+001	-9.622377e+000	8.700515e+000
-9.900000000000000e+000	-9.900000e+000	-9.622376e+000	8.700515e+000
-9.800000000000001e+000	-9.800000e+000	-9.622375e+000	8.700516e+000
-9.700000000000001e+000	-9.700000e+000	-9.622375e+000	8.700516e+000
-9.600000000000001e+000	-9.600000e+000	-9.622374e+000	8.700516e+000
-9.500000000000002e+000	-9.500000e+000	-9.622373e+000	8.700516e+000
-9.400000000000002e+000	-9.400000e+000	-9.622372e+000	8.700517e+000
-9.300000000000003e+000	-9.300000e+000	-9.622371e+000	8.700517e+000
-9.200000000000003e+000	-9.200000e+000	-9.622370e+000	8.700517e+000
-9.100000000000003e+000	-9.100000e+000	-9.622369e+000	8.700517e+000
-9.000000000000004e+000	-9.000000e+000	-9.622368e+000	8.700518e+000
-8.900000000000004e+000	-8.900000e+000	-9.622367e+000	8.700518e+000
-8.800000000000004e+000	-8.800000e+000	-9.622366e+000	8.700518e+000
-8.700000000000005e+000	-8.700000e+000	-9.622365e+000	8.700518e+000
-8.600000000000005e+000	-8.600000e+000	-9.622364e+000	8.700519e+000
-8.500000000000005e+000	-8.500000e+000	-9.622363e+000	8.700519e+000
-8.400000000000006e+000	-8.400000e+000	-9.622362e+000	8.700519e+000
-8.300000000000006e+000	-8.300000e+000	-9.622361e+000	8.700520e+000
-8.200000000000006e+000	-8.200000e+000	-9.622360e+000	8.700520e+000
-8.100000000000007e+000	-8.100000e+000	-9.622359e+000	8.700520e+000
-8.000000000000007e+000	-8.000000e+000	-9.622358e+000	8.700520e+000
-7.900000000000008e+000	-7.900000e+000	-9.622357e+000	8.700521e+000
-7.800000000000008e+000	-7.800000e+000	-9.622356e+000	8.700521e+000
-7.700000000000008e+000	-7.700000e+000	-9.622355e+000	8.700521e+000
-7.600000000000009e+000	-7.600000e+000	-9.622355e+000	8.700521e+000
-7.500000000000009e+000	-7.500000e+000	-9.622354e+000	8.700521e+000
-7.400000000000009e+000	-7.400000e+000	-9.622353e+000	8.700521e+000
-7.300000000000010e+000	-7.300000e+000	-9.622352e+000	8.700521e+000
-7.200000000000010e+000	-7.200000e+000	-9.622351e+000	8.700521e+000
-7.100000000000010e+000	-7.100000e+000	-9.622350e+000	8.700522e+000
-7.000000000000011e+000	-7.000000e+000	-9.622349e+000	8.700522e+000
-6.900000000000011e+000	-6.900000e+000	-9.622348e+000	8.700522e+000
-6.800000000000011e+000	-6.800000e+000	-9.622347e+000	8.700523e+000
-6.700000000000012e+000	-6.700000e+000	-9.622346e+000	8.700523e+000
-6.600000000000012e+000	-6.600000e+000	-9.622345e+000	8.700523e+000
-6.500000000000012e+000	-6.500000e+000	-9.622344e+000	8.700523e+000
-6.400000000000013e+000	-6.400000e+000	-9.622343e+000	8.700524e+000
-6.300000000000013e+000	-6.300000e+000	-9.622342e+000	8.700524e+000
-6.200000000000014e+000	-6.200000e+000	-9.622341e+000	8.700524e+000
-6.100000000000014e+000	-6.100000e+000	-9.622340e+000	8.700524e+000
-6.000000000000014e+000	-6.000000e+000	-9.622339e+000	8.700525e+000
-5.900000000000015e+000	-5.900000e+000	-9.622338e+000	8.700525e+000
-5.800000000000015e+000	-5.800000e+000	-9.622337e+000	8.700525e+000
-5.700000000000015e+000	-5.700000e+000	-9.622336e+000	8.700526e+000
-5.600000000000016e+000	-5.600000e+000	-9.622335e+000	8.700526e+000
-5.500000000000016e+000	-5.500000e+000	-9.622334e+000	8.700526e+000
-5.400000000000016e+000	-5.400000e+000	-9.622334e+000	8.700526e+000
-5.300000000000017e+000	-5.300000e+000	-9.622333e+000	8.700527e+000
-5.200000000000017e+000	-5.200000e+000	-9.622332e+000	8.700527e+000
