v1	V(vo1)	V(vo2)
-1.000000000000000e+001	-8.938615e+000	-9.019952e+000
-9.980000000000000e+000	-8.938618e+000	-9.019955e+000
-9.960000000000001e+000	-8.938621e+000	-9.019958e+000
-9.940000000000001e+000	-8.938623e+000	-9.019960e+000
-9.920000000000002e+000	-8.938626e+000	-9.019963e+000
-9.900000000000002e+000	-8.938629e+000	-9.019966e+000
-9.880000000000003e+000	-8.938632e+000	-9.019969e+000
-9.860000000000003e+000	-8.938634e+000	-9.019972e+000
-9.840000000000003e+000	-8.938637e+000	-9.019975e+000
-9.820000000000004e+000	-8.938640e+000	-9.019978e+000
-9.800000000000004e+000	-8.938643e+000	-9.019979e+000
-9.780000000000005e+000	-8.938645e+000	-9.019982e+000
-9.760000000000005e+000	-8.938648e+000	-9.019985e+000
-9.740000000000006e+000	-8.938651e+000	-9.019988e+000
-9.720000000000006e+000	-8.938654e+000	-9.019991e+000
-9.700000000000006e+000	-8.938657e+000	-9.019994e+000
-9.680000000000007e+000	-8.938660e+000	-9.019997e+000
-9.660000000000007e+000	-8.938663e+000	-9.020000e+000
-9.640000000000008e+000	-8.938665e+000	-9.020001e+000
-9.620000000000008e+000	-8.938668e+000	-9.020004e+000
-9.600000000000009e+000	-8.938671e+000	-9.020007e+000
-9.580000000000009e+000	-8.938674e+000	-9.020010e+000
-9.560000000000009e+000	-8.938676e+000	-9.020013e+000
-9.540000000000010e+000	-8.938679e+000	-9.020016e+000
-9.520000000000010e+000	-8.938682e+000	-9.020019e+000
-9.500000000000011e+000	-8.938684e+000	-9.020021e+000
-9.480000000000011e+000	-8.938687e+000	-9.020023e+000
-9.460000000000012e+000	-8.938690e+000	-9.020026e+000
-9.440000000000012e+000	-8.938693e+000	-9.020029e+000
-9.420000000000012e+000	-8.938696e+000	-9.020032e+000
-9.400000000000013e+000	-8.938699e+000	-9.020035e+000
-9.380000000000013e+000	-8.938702e+000	-9.020038e+000
-9.360000000000014e+000	-8.938704e+000	-9.020040e+000
-9.340000000000014e+000	-8.938706e+000	-9.020042e+000
-9.320000000000015e+000	-8.938709e+000	-9.020045e+000
-9.300000000000015e+000	-8.938712e+000	-9.020048e+000
-9.280000000000015e+000	-8.938715e+000	-9.020051e+000
-9.260000000000016e+000	-8.938718e+000	-9.020054e+000
-9.240000000000016e+000	-8.938721e+000	-9.020056e+000
-9.220000000000017e+000	-8.938724e+000	-9.020059e+000
-9.200000000000017e+000	-8.938725e+000	-9.020061e+000
-9.180000000000018e+000	-8.938728e+000	-9.020064e+000
-9.160000000000018e+000	-8.938731e+000	-9.020067e+000
-9.140000000000018e+000	-8.938734e+000	-9.020070e+000
-9.120000000000019e+000	-8.938737e+000	-9.020072e+000
-9.100000000000019e+000	-8.938740e+000	-9.020075e+000
-9.080000000000020e+000	-8.938743e+000	-9.020078e+000
-9.060000000000020e+000	-8.938745e+000	-9.020081e+000
-9.040000000000021e+000	-8.938747e+000	-9.020083e+000
-9.020000000000021e+000	-8.938750e+000	-9.020085e+000
-9.000000000000021e+000	-8.938753e+000	-9.020088e+000
-8.980000000000022e+000	-8.938756e+000	-9.020091e+000
-8.960000000000022e+000	-8.938759e+000	-9.020094e+000
-8.940000000000023e+000	-8.938762e+000	-9.020097e+000
-8.920000000000023e+000	-8.938764e+000	-9.020099e+000
-8.900000000000023e+000	-8.938766e+000	-9.020102e+000
-8.880000000000024e+000	-8.938769e+000	-9.020104e+000
-8.860000000000024e+000	-8.938772e+000	-9.020107e+000
-8.840000000000025e+000	-8.938775e+000	-9.020110e+000
-8.820000000000025e+000	-8.938778e+000	-9.020112e+000
-8.800000000000026e+000	-8.938780e+000	-9.020115e+000
-8.780000000000026e+000	-8.938783e+000	-9.020118e+000
