time	V(v1)	V(v2)	V(vo1)	V(vo2)
0.000000000000000e+000	0.000000e+000	0.000000e+000	3.961987e-003	2.441057e-007
2.247040765523503e-008	1.411857e-004	1.411857e-004	3.960081e-003	-1.866251e-006
4.494081531047006e-008	2.823715e-004	2.823715e-004	3.960970e-003	-9.246627e-007
6.741122296570509e-008	4.235572e-004	4.235572e-004	3.964653e-003	3.068872e-006
8.988163062094011e-008	5.647429e-004	5.647429e-004	3.971132e-003	1.011435e-005
1.123520382761751e-007	7.059286e-004	7.059286e-004	3.980405e-003	2.021178e-005
1.348224459314102e-007	8.471143e-004	8.471143e-004	3.992474e-003	3.336115e-005
1.572928535866452e-007	9.883000e-004	9.883000e-004	4.007337e-003	4.956247e-005
2.155577420925033e-007	1.354389e-003	1.354389e-003	4.084301e-003	1.331865e-004
2.840781246766692e-007	1.784915e-003	1.784915e-003	4.243780e-003	3.052781e-004
3.716995275462020e-007	2.335455e-003	2.335455e-003	4.570073e-003	6.529726e-004
4.760162635945951e-007	2.990894e-003	2.990894e-003	5.139559e-003	1.245725e-003
6.136667144625442e-007	3.855772e-003	3.855772e-003	6.139038e-003	2.248616e-003
7.562781517410766e-007	4.751818e-003	4.751818e-003	7.397384e-003	3.436949e-003
9.344033751232854e-007	5.870996e-003	5.870996e-003	9.160057e-003	4.960643e-003
1.106945262174526e-006	6.955086e-003	6.955086e-003	1.095251e-002	6.334849e-003
1.267166864643034e-006	7.961760e-003	7.961760e-003	1.263882e-002	7.443028e-003
1.434157524705547e-006	9.010956e-003	9.010956e-003	1.439563e-002	8.404595e-003
1.636966800671677e-006	1.028518e-002	1.028518e-002	1.653503e-002	9.374438e-003
1.804804532771811e-006	1.133968e-002	1.133968e-002	1.832553e-002	1.005455e-002
1.967497231294607e-006	1.236183e-002	1.236183e-002	2.009480e-002	1.062488e-002
2.183663309328374e-006	1.371993e-002	1.371993e-002	2.249674e-002	1.129785e-002
2.380564674943115e-006	1.495697e-002	1.495697e-002	2.473305e-002	1.183784e-002
2.655088494575725e-006	1.668164e-002	1.668164e-002	2.791545e-002	1.247942e-002
2.978044148134900e-006	1.871051e-002	1.871051e-002	3.172160e-002	1.310222e-002
3.287064646290051e-006	2.065177e-002	2.065177e-002	3.541828e-002	1.356786e-002
3.700231609860796e-006	2.324715e-002	2.324715e-002	4.042855e-002	1.403002e-002
4.176693180103648e-006	2.623993e-002	2.623993e-002	4.627764e-002	1.440463e-002
4.712721062290752e-006	2.960657e-002	2.960657e-002	5.293196e-002	1.466424e-002
5.433416282712049e-006	3.413253e-002	3.413253e-002	6.196314e-002	1.482178e-002
6.484527411176080e-006	4.073222e-002	4.073222e-002	7.522571e-002	1.483390e-002
