time	V(v1)	V(v2)	V(vo2)
0.000000000000000e+000	0.000000e+000	0.000000e+000	-1.958259e-009
4.882812557061023e-011	3.067962e-007	-3.067962e-007	-1.989987e-009
9.765625114122045e-011	6.135923e-007	-6.135923e-007	-2.180373e-009
1.869419664703364e-009	1.174591e-005	-1.174591e-005	-2.007884e-007
3.641183078265507e-009	2.287823e-005	-2.287823e-005	-4.070286e-007
5.412946491827650e-009	3.401054e-005	-3.401054e-005	-6.209010e-007
7.184709905389793e-009	4.514286e-005	-4.514286e-005	-8.424057e-007
8.956473318951937e-009	5.627518e-005	-5.627518e-005	-1.071543e-006
1.072823673251408e-008	6.740750e-005	-6.740750e-005	-1.308312e-006
1.250000014607622e-008	7.853982e-005	-7.853982e-005	-1.552713e-006
5.000000058430487e-008	3.141593e-004	-3.141593e-004	-3.239213e-005
1.000000011686097e-007	6.283185e-004	-6.283185e-004	-2.008654e-004
2.000000023372195e-007	1.256637e-003	-1.256637e-003	-1.076520e-003
4.000000046744390e-007	2.513272e-003	-2.513272e-003	-4.805625e-003
8.000000093488779e-007	5.026527e-003	-5.026527e-003	-1.746227e-002
1.600000018697756e-006	1.005293e-002	-1.005293e-002	-5.160600e-002
2.872355796218361e-006	1.804656e-002	-1.804656e-002	-1.131176e-001
7.071489489383037e-006	4.441686e-002	-4.441686e-002	-3.222210e-001
8.517260061888694e-006	5.348998e-002	-5.348998e-002	-3.928778e-001
1.016399359123142e-005	6.381886e-002	-6.381886e-002	-4.695172e-001
1.112888322441162e-005	6.986786e-002	-6.986786e-002	-5.081963e-001
1.184744444560250e-005	7.437096e-002	-7.437096e-002	-5.285686e-001
1.273442409965780e-005	7.992740e-002	-7.992740e-002	-5.423597e-001
1.372395690425389e-005	8.612334e-002	-8.612334e-002	-5.477325e-001
1.476279771914808e-005	9.262444e-002	-9.262444e-002	-5.463674e-001
1.578572699624148e-005	9.902211e-002	-9.902211e-002	-5.415215e-001
1.618349699901124e-005	1.015088e-001	-1.015088e-001	-5.411903e-001
1.635473782044242e-005	1.025791e-001	-1.025791e-001	-5.483649e-001
1.644525080382777e-005	1.031448e-001	-1.031448e-001	-5.624735e-001
1.653008958293583e-005	1.036750e-001	-1.036750e-001	-5.852295e-001
1.661411531145053e-005	1.042001e-001	-1.042001e-001	-6.114307e-001
1.671013293144602e-005	1.048001e-001	-1.048001e-001	-6.410879e-001
1.684322920031917e-005	1.056317e-001	-1.056317e-001	-6.783396e-001
1.700847685473560e-005	1.066641e-001	-1.066641e-001	-7.166983e-001
1.732993813652635e-005	1.086722e-001	-1.086722e-001	-7.736464e-001
1.771880275471001e-005	1.111007e-001	-1.111007e-001	-8.232629e-001
1.817668031237176e-005	1.139593e-001	-1.139593e-001	-8.642500e-001
1.870200998702662e-005	1.172380e-001	-1.172380e-001	-8.996930e-001
1.934173616186683e-005	1.212288e-001	-1.212288e-001	-9.357563e-001
2.402518034213733e-005	1.503820e-001	-1.503820e-001	-1.171648e+000
3.306654025622870e-005	2.067050e-001	-2.067050e-001	-1.622440e+000
4.210790017032006e-005	2.619262e-001	-2.619262e-001	-2.064434e+000
5.114926008441143e-005	3.160456e-001	-3.160456e-001	-2.497629e+000
6.019061999850279e-005	3.690632e-001	-3.690632e-001	-2.922025e+000
6.923197991259416e-005	4.209791e-001	-4.209791e-001	-3.337623e+000
7.827333982668551e-005	4.717932e-001	-4.717932e-001	-3.744422e+000
8.731469974077686e-005	5.215055e-001	-5.215055e-001	-4.142423e+000
1.019631372407769e-004	5.990267e-001	-5.990267e-001	-4.763289e+000
1.166115747407769e-004	6.701328e-001	-6.701328e-001	-5.333153e+000
1.312600122407769e-004	7.348239e-001	-7.348239e-001	-5.852016e+000
1.459084497407769e-004	7.931000e-001	-7.931000e-001	-6.319876e+000
1.605568872407770e-004	8.449610e-001	-8.449610e-001	-6.736735e+000
1.752053247407770e-004	8.904070e-001	-8.904070e-001	-7.102592e+000
1.898537622407770e-004	9.294379e-001	-9.294379e-001	-7.417447e+000
2.142678247407770e-004	9.741109e-001	-9.741109e-001	-7.781921e+000
2.386818872407770e-004	9.961813e-001	-9.961813e-001	-7.965137e+000
2.630959497407771e-004	9.956489e-001	-9.956489e-001	-7.967097e+000
2.875100122407771e-004	9.725137e-001	-9.725137e-001	-7.787800e+000
3.119240747407771e-004	9.267759e-001	-9.267759e-001	-7.427247e+000
3.363381372407771e-004	8.584353e-001	-8.584353e-001	-6.885436e+000
3.607521997407771e-004	7.674921e-001	-7.674921e-001	-6.162369e+000
3.726104586693485e-004	7.168223e-001	-7.168223e-001	-5.758394e+000
3.844687175979200e-004	6.629741e-001	-6.629741e-001	-5.328853e+000
3.963269765264914e-004	6.059476e-001	-6.059476e-001	-4.873744e+000
4.081852354550629e-004	5.457428e-001	-5.457428e-001	-4.393068e+000
4.200434943836343e-004	4.823596e-001	-4.823596e-001	-3.886825e+000
4.319017533122057e-004	4.157980e-001	-4.157980e-001	-3.355015e+000
4.437600122407772e-004	3.460580e-001	-3.460580e-001	-2.797638e+000
4.493403693836343e-004	3.128517e-001	-3.128517e-001	-2.532040e+000
4.549207265264915e-004	2.793646e-001	-2.793646e-001	-2.264326e+000
4.605010836693486e-004	2.455970e-001	-2.455970e-001	-1.994495e+000
4.660814408122058e-004	2.115487e-001	-2.115487e-001	-1.722547e+000
4.716617979550629e-004	1.772197e-001	-1.772197e-001	-1.448482e+000
4.772421550979200e-004	1.426101e-001	-1.426101e-001	-1.172300e+000
4.828225122407772e-004	1.077199e-001	-1.077199e-001	-8.940008e-001
4.877053247407772e-004	7.717291e-002	-7.717291e-002	-6.573995e-001
4.893124855423199e-004	6.710118e-002	-6.710118e-002	-5.944796e-001
4.898299284186378e-004	6.385697e-002	-6.385697e-002	-5.870869e-001
4.902992682097458e-004	6.091371e-002	-6.091371e-002	-5.899172e-001
4.907686080008539e-004	5.796998e-002	-5.796998e-002	-5.928475e-001
4.912379477919619e-004	5.502578e-002	-5.502578e-002	-5.958776e-001
4.917072875830700e-004	5.208112e-002	-5.208112e-002	-5.990078e-001
4.921766273741780e-004	4.913598e-002	-4.913598e-002	-6.022379e-001
4.926459671652861e-004	4.619038e-002	-4.619038e-002	-6.055679e-001
4.931153069563941e-004	4.324431e-002	-4.324431e-002	-6.089979e-001
4.937359671439448e-004	3.934792e-002	-3.934792e-002	-5.993954e-001
4.940490460546221e-004	3.738223e-002	-3.738223e-002	-5.522842e-001
4.942578905716804e-004	3.607091e-002	-3.607091e-002	-4.826624e-001
4.943875322369053e-004	3.525687e-002	-3.525687e-002	-4.406005e-001
4.945446618409869e-004	3.427019e-002	-3.427019e-002	-4.031841e-001
4.946587385170132e-004	3.355384e-002	-3.355384e-002	-3.783964e-001
4.947815713432542e-004	3.278248e-002	-3.278248e-002	-3.559874e-001
4.949101983269046e-004	3.197472e-002	-3.197472e-002	-3.365146e-001
4.950575433229368e-004	3.104938e-002	-3.104938e-002	-3.175019e-001
4.952490559577932e-004	2.984663e-002	-2.984663e-002	-2.970831e-001
4.955135261324147e-004	2.818561e-002	-2.818561e-002	-2.740781e-001
4.959605847181135e-004	2.537767e-002	-2.537767e-002	-2.427624e-001
4.965860097029690e-004	2.144909e-002	-2.144909e-002	-2.059666e-001
4.974532545555065e-004	1.600099e-002	-1.600099e-002	-1.601746e-001
4.989737850361498e-004	6.447854e-003	-6.447854e-003	-8.299182e-002
5.006381082954483e-004	-4.009342e-003	4.009342e-003	7.263630e-004
5.039667548140455e-004	-2.492128e-002	2.492128e-002	1.670785e-001
5.086096606194931e-004	-5.406971e-002	5.406971e-002	3.918384e-001
5.103943057749672e-004	-6.526293e-002	6.526293e-002	4.655710e-001
5.115764095618115e-004	-7.267261e-002	7.267261e-002	4.996025e-001
5.129385938626199e-004	-8.120607e-002	8.120607e-002	5.249569e-001
5.141111765259467e-004	-8.854701e-002	8.854701e-002	5.409915e-001
5.152651032640465e-004	-9.576648e-002	9.576648e-002	5.545444e-001
5.157021155552823e-004	-9.849933e-002	9.849933e-002	5.601391e-001
5.158840610525186e-004	-9.963690e-002	9.963690e-002	5.644999e-001
5.159760399145489e-004	-1.002119e-001	1.002119e-001	5.699857e-001
5.160691041055247e-004	-1.007937e-001	1.007937e-001	5.808944e-001
5.161551414689449e-004	-1.013315e-001	1.013315e-001	5.961869e-001
5.162576526213601e-004	-1.019723e-001	1.019723e-001	6.189265e-001
5.164181081138307e-004	-1.029752e-001	1.029752e-001	6.569635e-001
5.165950515387143e-004	-1.040809e-001	1.040809e-001	6.963665e-001
5.168369720806609e-004	-1.055926e-001	1.055926e-001	7.417639e-001
5.171196937158092e-004	-1.073589e-001	1.073589e-001	7.822274e-001
5.175817033829253e-004	-1.102446e-001	1.102446e-001	8.300582e-001
5.180430354211750e-004	-1.131251e-001	1.131251e-001	8.651780e-001
5.187136284745688e-004	-1.173104e-001	1.173104e-001	9.052862e-001
5.226919224638804e-004	-1.420950e-001	1.420950e-001	1.107095e+000
5.321863210453655e-004	-2.013584e-001	2.013584e-001	1.581849e+000
5.416807196268504e-004	-2.594021e-001	2.594021e-001	2.046862e+000
5.511751182083355e-004	-3.162260e-001	3.162260e-001	2.502134e+000
5.606695167898204e-004	-3.718302e-001	3.718302e-001	2.947666e+000
5.701639153713055e-004	-4.262147e-001	4.262147e-001	3.383457e+000
5.796583139527906e-004	-4.793794e-001	4.793794e-001	3.809508e+000
5.891527125342755e-004	-5.313243e-001	5.313243e-001	4.225818e+000
6.044986946771326e-004	-6.118760e-001	6.118760e-001	4.871700e+000
6.198446768199899e-004	-6.852373e-001	6.852373e-001	5.460216e+000
6.351906589628470e-004	-7.514080e-001	7.514080e-001	5.991366e+000
6.505366411057042e-004	-8.103882e-001	8.103882e-001	6.465149e+000
6.658826232485613e-004	-8.621780e-001	8.621780e-001	6.881566e+000
6.812286053914185e-004	-9.067772e-001	9.067772e-001	7.240617e+000
6.965745875342756e-004	-9.441860e-001	9.441860e-001	7.542301e+000
7.202911053914185e-004	-9.816682e-001	9.816682e-001	7.846275e+000
7.440076232485614e-004	-9.978873e-001	9.978873e-001	7.980079e+000
7.677241411057043e-004	-9.928435e-001	9.928435e-001	7.943712e+000
7.914406589628472e-004	-9.665366e-001	9.665366e-001	7.737174e+000
8.151571768199900e-004	-9.189667e-001	9.189667e-001	7.360466e+000
8.388736946771330e-004	-8.501337e-001	8.501337e-001	6.813588e+000
8.625902125342758e-004	-7.600377e-001	7.600377e-001	6.096539e+000
8.744484714628472e-004	-7.087249e-001	7.087249e-001	5.687670e+000
8.863067303914187e-004	-6.542860e-001	6.542860e-001	5.253705e+000
8.981649893199901e-004	-5.967210e-001	5.967210e-001	4.794643e+000
9.100232482485615e-004	-5.360300e-001	5.360300e-001	4.310485e+000
9.218815071771330e-004	-4.722128e-001	4.722128e-001	3.801230e+000
9.337397661057044e-004	-4.052695e-001	4.052695e-001	3.266879e+000
9.455980250342758e-004	-3.352002e-001	3.352002e-001	2.707431e+000
9.511783821771329e-004	-3.018623e-001	3.018623e-001	2.441018e+000
9.567587393199900e-004	-2.682576e-001	2.682576e-001	2.172617e+000
9.623390964628471e-004	-2.343860e-001	2.343860e-001	1.902228e+000
9.679194536057044e-004	-2.002476e-001	2.002476e-001	1.629851e+000
9.734998107485615e-004	-1.658425e-001	1.658425e-001	1.355486e+000
9.790801678914184e-004	-1.311704e-001	1.311704e-001	1.079132e+000
9.846605250342757e-004	-9.623162e-002	9.623162e-002	8.007901e-001
9.895433375342756e-004	-6.565389e-002	6.565389e-002	5.646606e-001
9.910505180215595e-004	-5.620163e-002	5.620163e-002	5.019776e-001
9.914672155925969e-004	-5.358738e-002	5.358738e-002	4.909270e-001
9.917251774348129e-004	-5.196882e-002	5.196882e-002	4.874077e-001
9.921652658182844e-004	-4.920716e-002	4.920716e-002	4.828814e-001
9.926053542017557e-004	-4.644517e-002	4.644517e-002	4.783657e-001
9.930454425852273e-004	-4.368286e-002	4.368286e-002	4.738607e-001
9.934855309686986e-004	-4.092022e-002	4.092022e-002	4.693663e-001
9.939256193521701e-004	-3.815725e-002	3.815725e-002	4.648826e-001
