v3	V(vin)	V(vout)	I(Rl)
Step Information: Rl=1K  (Run: 1/4)
-1.000000000000000e+001	-1.000000e+001	-8.701411e+000	8.084502e-003
-9.990000000000000e+000	-9.990000e+000	-8.701238e+000	8.083524e-003
-9.980000000000000e+000	-9.980000e+000	-8.701064e+000	8.082546e-003
-9.970000000000001e+000	-9.970000e+000	-8.700891e+000	8.081568e-003
-9.960000000000001e+000	-9.960000e+000	-8.700716e+000	8.080591e-003
-9.950000000000001e+000	-9.950000e+000	-8.700542e+000	8.079612e-003
-9.940000000000001e+000	-9.940000e+000	-8.700369e+000	8.078634e-003
-9.930000000000002e+000	-9.930000e+000	-8.700194e+000	8.077656e-003
-9.920000000000002e+000	-9.920000e+000	-8.700021e+000	8.076677e-003
-9.910000000000002e+000	-9.910000e+000	-8.699846e+000	8.075698e-003
-9.900000000000002e+000	-9.900000e+000	-8.699672e+000	8.074720e-003
-9.890000000000002e+000	-9.890000e+000	-8.699497e+000	8.073742e-003
-9.880000000000003e+000	-9.880000e+000	-8.699323e+000	8.072763e-003
-9.870000000000003e+000	-9.870000e+000	-8.699148e+000	8.071783e-003
-9.860000000000003e+000	-9.860000e+000	-8.698974e+000	8.070804e-003
-9.850000000000003e+000	-9.850000e+000	-8.698798e+000	8.069825e-003
-9.840000000000003e+000	-9.840000e+000	-8.698623e+000	8.068846e-003
-9.830000000000004e+000	-9.830000e+000	-8.698447e+000	8.067866e-003
-9.820000000000004e+000	-9.820000e+000	-8.698272e+000	8.066887e-003
-9.810000000000004e+000	-9.810000e+000	-8.698096e+000	8.065906e-003
-9.800000000000004e+000	-9.800000e+000	-8.697920e+000	8.064927e-003
-9.790000000000005e+000	-9.790000e+000	-8.697744e+000	8.063947e-003
-9.780000000000005e+000	-9.780000e+000	-8.697568e+000	8.062966e-003
-9.770000000000005e+000	-9.770000e+000	-8.697391e+000	8.061985e-003
-9.760000000000005e+000	-9.760000e+000	-8.697214e+000	8.061005e-003
-9.750000000000005e+000	-9.750000e+000	-8.697037e+000	8.060024e-003
-9.740000000000006e+000	-9.740000e+000	-8.696859e+000	8.059043e-003
-9.730000000000006e+000	-9.730000e+000	-8.696682e+000	8.058062e-003
-9.720000000000006e+000	-9.720000e+000	-8.696504e+000	8.057080e-003
-9.710000000000006e+000	-9.710000e+000	-8.696325e+000	8.056098e-003
-9.700000000000006e+000	-9.700000e+000	-8.696147e+000	8.055116e-003
-9.690000000000007e+000	-9.690000e+000	-8.695968e+000	8.054134e-003
-9.680000000000007e+000	-9.680000e+000	-8.695788e+000	8.053151e-003
-9.670000000000007e+000	-9.670000e+000	-8.695609e+000	8.052167e-003
-9.660000000000007e+000	-9.660000e+000	-8.695429e+000	8.051184e-003
-9.650000000000008e+000	-9.650000e+000	-8.695249e+000	8.050201e-003
-9.640000000000008e+000	-9.640000e+000	-8.695068e+000	8.049217e-003
-9.630000000000008e+000	-9.630000e+000	-8.694887e+000	8.048233e-003
-9.620000000000008e+000	-9.620000e+000	-8.694705e+000	8.047247e-003
-9.610000000000008e+000	-9.610000e+000	-8.694523e+000	8.046263e-003
-9.600000000000009e+000	-9.600000e+000	-8.694341e+000	8.045278e-003
-9.590000000000009e+000	-9.590000e+000	-8.694158e+000	8.044291e-003
-9.580000000000009e+000	-9.580000e+000	-8.693974e+000	8.043305e-003
-9.570000000000009e+000	-9.570000e+000	-8.693790e+000	8.042319e-003
-9.560000000000009e+000	-9.560000e+000	-8.693605e+000	8.041332e-003
-9.550000000000010e+000	-9.550000e+000	-8.693420e+000	8.040344e-003
-9.540000000000010e+000	-9.540000e+000	-8.693235e+000	8.039356e-003
-9.530000000000010e+000	-9.530000e+000	-8.693049e+000	8.038367e-003
-9.520000000000010e+000	-9.520000e+000	-8.692863e+000	8.037379e-003
-9.510000000000010e+000	-9.510000e+000	-8.692675e+000	8.036389e-003
-9.500000000000011e+000	-9.500000e+000	-8.692487e+000	8.035399e-003
-9.490000000000011e+000	-9.490000e+000	-8.692298e+000	8.034408e-003
-9.480000000000011e+000	-9.480000e+000	-8.692109e+000	8.033417e-003
-9.470000000000011e+000	-9.470000e+000	-8.691918e+000	8.032425e-003
-9.460000000000012e+000	-9.460000e+000	-8.691728e+000	8.031433e-003
-9.450000000000012e+000	-9.450000e+000	-8.691536e+000	8.030441e-003
-9.440000000000012e+000	-9.440000e+000	-8.691344e+000	8.029447e-003
-9.430000000000012e+000	-9.430000e+000	-8.691151e+000	8.028452e-003
-9.420000000000012e+000	-9.420000e+000	-8.690957e+000	8.027458e-003
-9.410000000000013e+000	-9.410000e+000	-8.690763e+000	8.026462e-003
-9.400000000000013e+000	-9.400000e+000	-8.690567e+000	8.025466e-003
-9.390000000000013e+000	-9.390000e+000	-8.690371e+000	8.024469e-003
-9.380000000000013e+000	-9.380000e+000	-8.690173e+000	8.023471e-003
-9.370000000000013e+000	-9.370000e+000	-8.689975e+000	8.022472e-003
-9.360000000000014e+000	-9.360000e+000	-8.689775e+000	8.021473e-003
-9.350000000000014e+000	-9.350000e+000	-8.689575e+000	8.020473e-003
-9.340000000000014e+000	-9.340000e+000	-8.689373e+000	8.019472e-003
-9.330000000000014e+000	-9.330000e+000	-8.689171e+000	8.018469e-003
-9.320000000000015e+000	-9.320000e+000	-8.688968e+000	8.017466e-003
-9.310000000000015e+000	-9.310000e+000	-8.688763e+000	8.016462e-003
-9.300000000000015e+000	-9.300000e+000	-8.688558e+000	8.015458e-003
-9.290000000000015e+000	-9.290000e+000	-8.688351e+000	8.014452e-003
-9.280000000000015e+000	-9.280000e+000	-8.688143e+000	8.013445e-003
-9.270000000000016e+000	-9.270000e+000	-8.687933e+000	8.012437e-003
-9.260000000000016e+000	-9.260000e+000	-8.687722e+000	8.011429e-003
-9.250000000000016e+000	-9.250000e+000	-8.687510e+000	8.010419e-003
-9.240000000000016e+000	-9.240000e+000	-8.687298e+000	8.009408e-003
-9.230000000000016e+000	-9.230000e+000	-8.687083e+000	8.008396e-003
-9.220000000000017e+000	-9.220000e+000	-8.686867e+000	8.007383e-003
-9.210000000000017e+000	-9.210000e+000	-8.686649e+000	8.006368e-003
-9.200000000000017e+000	-9.200000e+000	-8.686431e+000	8.005353e-003
-9.190000000000017e+000	-9.190000e+000	-8.686211e+000	8.004336e-003
-9.180000000000018e+000	-9.180000e+000	-8.685988e+000	8.003317e-003
-9.170000000000018e+000	-9.170000e+000	-8.685765e+000	8.002298e-003
-9.160000000000018e+000	-9.160000e+000	-8.685540e+000	8.001277e-003
-9.150000000000018e+000	-9.150000e+000	-8.685313e+000	8.000255e-003
-9.140000000000018e+000	-9.140000e+000	-8.685085e+000	7.999231e-003
-9.130000000000019e+000	-9.130000e+000	-8.684855e+000	7.998206e-003
-9.120000000000019e+000	-9.120000e+000	-8.684623e+000	7.997179e-003
-9.110000000000019e+000	-9.110000e+000	-8.684389e+000	7.996151e-003
-9.100000000000019e+000	-9.100000e+000	-8.684154e+000	7.995122e-003
-9.090000000000019e+000	-9.090000e+000	-8.683916e+000	7.994090e-003
-9.080000000000020e+000	-9.080000e+000	-8.683677e+000	7.993057e-003
-9.070000000000020e+000	-9.070000e+000	-8.683435e+000	7.992024e-003
-9.060000000000020e+000	-9.060000e+000	-8.683192e+000	7.990987e-003
-9.050000000000020e+000	-9.050000e+000	-8.682947e+000	7.989950e-003
-9.040000000000021e+000	-9.040000e+000	-8.682700e+000	7.988910e-003
-9.030000000000021e+000	-9.030000e+000	-8.682450e+000	7.987869e-003
-9.020000000000021e+000	-9.020000e+000	-8.682199e+000	7.986826e-003
-9.010000000000021e+000	-9.010000e+000	-8.681944e+000	7.985780e-003
-9.000000000000021e+000	-9.000000e+000	-8.681688e+000	7.984733e-003
-8.990000000000022e+000	-8.990000e+000	-8.681429e+000	7.983685e-003
-8.980000000000022e+000	-8.980000e+000	-8.681169e+000	7.982634e-003
-8.970000000000022e+000	-8.970000e+000	-8.680904e+000	7.981581e-003
-8.960000000000022e+000	-8.960000e+000	-8.680639e+000	7.980526e-003
-8.950000000000022e+000	-8.950000e+000	-8.680370e+000	7.979469e-003
-8.940000000000023e+000	-8.940000e+000	-8.680099e+000	7.978410e-003
-8.930000000000023e+000	-8.930000e+000	-8.679826e+000	7.977348e-003
-8.920000000000023e+000	-8.920000e+000	-8.679549e+000	7.976284e-003
-8.910000000000023e+000	-8.910000e+000	-8.679270e+000	7.975219e-003
-8.900000000000023e+000	-8.900000e+000	-8.678988e+000	7.974151e-003
-8.890000000000024e+000	-8.890000e+000	-8.678703e+000	7.973080e-003
-8.880000000000024e+000	-8.880000e+000	-8.678415e+000	7.972007e-003
-8.870000000000024e+000	-8.870000e+000	-8.678124e+000	7.970931e-003
-8.860000000000024e+000	-8.860000e+000	-8.677831e+000	7.969853e-003
-8.850000000000025e+000	-8.850000e+000	-8.677534e+000	7.968772e-003
-8.840000000000025e+000	-8.840000e+000	-8.677235e+000	7.967689e-003
-8.830000000000025e+000	-8.830000e+000	-8.676931e+000	7.966603e-003
-8.820000000000025e+000	-8.820000e+000	-8.676625e+000	7.965514e-003
-8.810000000000025e+000	-8.810000e+000	-8.676315e+000	7.964423e-003
-8.800000000000026e+000	-8.800000e+000	-8.676002e+000	7.963329e-003
-8.790000000000026e+000	-8.790000e+000	-8.675685e+000	7.962232e-003
-8.780000000000026e+000	-8.780000e+000	-8.675364e+000	7.961132e-003
-8.770000000000026e+000	-8.770000e+000	-8.675041e+000	7.960028e-003
-8.760000000000026e+000	-8.760000e+000	-8.674713e+000	7.958922e-003
-8.750000000000027e+000	-8.750000e+000	-8.674382e+000	7.957812e-003
-8.740000000000027e+000	-8.740000e+000	-8.674047e+000	7.956699e-003
-8.730000000000027e+000	-8.730000e+000	-8.673708e+000	7.955584e-003
-8.720000000000027e+000	-8.720000e+000	-8.673365e+000	7.954464e-003
-8.710000000000028e+000	-8.710000e+000	-8.673018e+000	7.953342e-003
-8.700000000000028e+000	-8.700000e+000	-8.672667e+000	7.952216e-003
-8.690000000000028e+000	-8.690000e+000	-8.672311e+000	7.951086e-003
-8.680000000000028e+000	-8.680000e+000	-8.671950e+000	7.949953e-003
-8.670000000000028e+000	-8.670000e+000	-8.671586e+000	7.948816e-003
-8.660000000000029e+000	-8.660000e+000	-8.671218e+000	7.947675e-003
-8.650000000000029e+000	-8.650000e+000	-8.670844e+000	7.946530e-003
-8.640000000000029e+000	-8.640000e+000	-8.670465e+000	7.945382e-003
-8.630000000000029e+000	-8.630000e+000	-8.670083e+000	7.944230e-003
-8.620000000000029e+000	-8.620000e+000	-8.669695e+000	7.943073e-003
-8.610000000000030e+000	-8.610000e+000	-8.669301e+000	7.941912e-003
-8.600000000000030e+000	-8.600000e+000	-8.668903e+000	7.940747e-003
-8.590000000000030e+000	-8.590000e+000	-8.668500e+000	7.939577e-003
-8.580000000000030e+000	-8.580000e+000	-8.668091e+000	7.938403e-003
-8.570000000000031e+000	-8.570000e+000	-8.667676e+000	7.937225e-003
-8.560000000000031e+000	-8.560000e+000	-8.667256e+000	7.936041e-003
-8.550000000000031e+000	-8.550000e+000	-8.666830e+000	7.934853e-003
-8.540000000000031e+000	-8.540000e+000	-8.666399e+000	7.933659e-003
-8.530000000000031e+000	-8.530000e+000	-8.665961e+000	7.932462e-003
-8.520000000000032e+000	-8.520000e+000	-8.665517e+000	7.931259e-003
-8.510000000000032e+000	-8.510000e+000	-8.665067e+000	7.930050e-003
-8.500000000000032e+000	-8.500000e+000	-8.664610e+000	7.928835e-003
-8.490000000000032e+000	-8.490000e+000	-8.664145e+000	7.927616e-003
-8.480000000000032e+000	-8.480000e+000	-8.663675e+000	7.926391e-003
-8.470000000000033e+000	-8.470000e+000	-8.663198e+000	7.925159e-003
-8.460000000000033e+000	-8.460000e+000	-8.662713e+000	7.923922e-003
-8.450000000000033e+000	-8.450000e+000	-8.662221e+000	7.922678e-003
-8.440000000000033e+000	-8.440000e+000	-8.661721e+000	7.921428e-003
-8.430000000000034e+000	-8.430000e+000	-8.661213e+000	7.920172e-003
-8.420000000000034e+000	-8.420000e+000	-8.660697e+000	7.918909e-003
-8.410000000000034e+000	-8.410000e+000	-8.660173e+000	7.917639e-003
-8.400000000000034e+000	-8.400000e+000	-8.659640e+000	7.916361e-003
-8.390000000000034e+000	-8.390000e+000	-8.659099e+000	7.915077e-003
-8.380000000000035e+000	-8.380000e+000	-8.658548e+000	7.913784e-003
-8.370000000000035e+000	-8.370000e+000	-8.657989e+000	7.912485e-003
-8.360000000000035e+000	-8.360000e+000	-8.657418e+000	7.911176e-003
-8.350000000000035e+000	-8.350000e+000	-8.656838e+000	7.909860e-003
-8.340000000000035e+000	-8.340000e+000	-8.656249e+000	7.908535e-003
-8.330000000000036e+000	-8.330000e+000	-8.655648e+000	7.907202e-003
-8.320000000000036e+000	-8.320000e+000	-8.655036e+000	7.905858e-003
-8.310000000000036e+000	-8.310000e+000	-8.654413e+000	7.904505e-003
-8.300000000000036e+000	-8.300000e+000	-8.653778e+000	7.903143e-003
-8.290000000000037e+000	-8.290000e+000	-8.653131e+000	7.901770e-003
