time	V(vin)	V(voutoa)	V(voutr)
0.000000000000000e+000	0.000000e+000	4.883348e-004	0.000000e+000
9.765625114122045e-011	7.363108e-007	4.883363e-004	2.025998e-021
1.953125022824409e-010	1.472622e-006	4.883386e-004	9.454657e-021
7.812500091297636e-010	5.890486e-006	4.883815e-004	1.620798e-019
1.495535731762691e-008	1.127607e-004	4.889053e-004	5.938882e-017
2.912946462612405e-008	2.196310e-004	4.999348e-004	2.253244e-016
4.330357193462120e-008	3.265012e-004	5.214699e-004	4.979688e-016
5.747767924311834e-008	4.333715e-004	5.535109e-004	8.773220e-016
7.165178655161549e-008	5.402417e-004	5.960575e-004	1.363384e-015
8.582589386011263e-008	6.471119e-004	6.491099e-004	1.956155e-015
1.000000011686097e-007	7.539822e-004	7.126679e-004	2.655635e-015
2.000000023372195e-007	1.507964e-003	1.416420e-003	1.062397e-014
4.000000046744390e-007	3.015926e-003	3.306648e-003	4.251873e-014
8.000000093488779e-007	6.031833e-003	7.280128e-003	1.589945e-013
1.334249576767422e-006	1.005989e-002	1.256648e-002	4.415533e-013
2.402748711604509e-006	1.811561e-002	2.347857e-002	1.502452e-012
4.539746981278685e-006	3.422425e-002	4.583857e-002	4.927504e-012
5.956395000494379e-006	4.489968e-002	5.717181e-002	8.177961e-012
6.729028397556920e-006	5.072057e-002	5.691044e-002	1.047134e-011
7.235888474860654e-006	5.453852e-002	5.536096e-002	1.223675e-011
7.845803189257647e-006	5.913201e-002	5.812243e-002	1.460041e-011
8.275711954551465e-006	6.236928e-002	6.161974e-002	1.642472e-011
8.755889704274342e-006	6.598455e-002	6.511317e-002	1.865875e-011
1.195240190713440e-005	9.005139e-002	8.913160e-002	-1.123142e-011
1.514891410999446e-005	1.140601e-001	1.130925e-001	3.195145e-011
1.834542631285452e-005	1.380107e-001	1.369960e-001	1.482074e-010
2.154193851571458e-005	1.619032e-001	1.608419e-001	3.375363e-010
2.473845071857463e-005	1.857375e-001	1.846303e-001	5.999383e-010
2.793496292143469e-005	2.095137e-001	2.083613e-001	9.354134e-010
3.113147512429474e-005	2.332318e-001	2.320347e-001	1.343961e-009
5.066272512429475e-005	3.755694e-001	3.742059e-001	2.154016e-008
7.019397512429474e-005	5.122581e-001	5.107859e-001	2.907169e-007
8.972522512429473e-005	6.412420e-001	6.396807e-001	3.348317e-006
9.949085012429473e-005	7.022330e-001	7.006342e-001	1.059928e-005
1.092564751242947e-004	7.605809e-001	7.589492e-001	3.182572e-005
1.190221001242947e-004	8.160662e-001	8.144062e-001	9.022139e-005
1.287877251242947e-004	8.684800e-001	8.667961e-001	2.403268e-004
1.385533501242947e-004	9.176251e-001	9.159219e-001	5.978770e-004
1.483189751242948e-004	9.633164e-001	9.615988e-001	1.378208e-003
1.580846001242948e-004	1.005382e+000	1.003654e+000	2.916052e-003
1.678502251242948e-004	1.043664e+000	1.041931e+000	5.610722e-003
1.776158501242948e-004	1.078017e+000	1.076284e+000	9.759771e-003
1.873814751242948e-004	1.108313e+000	1.106584e+000	1.535228e-002
1.971471001242948e-004	1.134438e+000	1.132718e+000	2.198268e-002
2.069127251242948e-004	1.156293e+000	1.154586e+000	2.896034e-002
2.166783501242948e-004	1.173795e+000	1.172107e+000	3.551718e-002
2.264439751242948e-004	1.186880e+000	1.185214e+000	4.096557e-002
