v3	V(vin)	V(vo1)	V(vout)
-1.000000000000000e+001	-1.000000e+001	-8.950839e+000	-9.116730e+000
-9.900000000000000e+000	-9.900000e+000	-8.950853e+000	-9.116743e+000
-9.800000000000001e+000	-9.800000e+000	-8.950867e+000	-9.116757e+000
-9.700000000000001e+000	-9.700000e+000	-8.950881e+000	-9.116771e+000
-9.600000000000001e+000	-9.600000e+000	-8.950894e+000	-9.116785e+000
-9.500000000000002e+000	-9.500000e+000	-8.950909e+000	-9.116798e+000
-9.400000000000002e+000	-9.400000e+000	-8.950922e+000	-9.116812e+000
-9.300000000000003e+000	-9.300000e+000	-8.950936e+000	-9.116826e+000
-9.200000000000003e+000	-9.200000e+000	-8.950950e+000	-9.116839e+000
-9.100000000000003e+000	-9.100000e+000	-8.950963e+000	-9.116853e+000
-9.000000000000004e+000	-9.000000e+000	-8.950977e+000	-9.116866e+000
-8.900000000000004e+000	-8.900000e+000	-8.950991e+000	-9.116879e+000
-8.800000000000004e+000	-8.800000e+000	-8.951004e+000	-9.116866e+000
-8.700000000000005e+000	-8.700000e+000	-8.951005e+000	-9.115788e+000
-8.600000000000005e+000	-8.600000e+000	-8.950813e+000	-9.097050e+000
-8.500000000000005e+000	-8.500000e+000	-8.948356e+000	-8.864408e+000
-8.400000000000006e+000	-8.400000e+000	-8.945386e+000	-8.572862e+000
-8.300000000000006e+000	-8.300000e+000	-8.942528e+000	-8.280982e+000
-8.200000000000006e+000	-8.200000e+000	-8.939770e+000	-7.988797e+000
-8.100000000000007e+000	-8.100000e+000	-8.937104e+000	-7.696333e+000
-8.000000000000007e+000	-8.000000e+000	-8.934524e+000	-7.403612e+000
-7.900000000000008e+000	-7.900000e+000	-8.932022e+000	-7.110654e+000
-7.800000000000008e+000	-7.800000e+000	-8.929592e+000	-6.817477e+000
-7.700000000000008e+000	-7.700000e+000	-8.927230e+000	-6.524095e+000
-7.600000000000009e+000	-7.600000e+000	-8.924930e+000	-6.230523e+000
-7.500000000000009e+000	-7.500000e+000	-8.922688e+000	-5.936772e+000
-7.400000000000009e+000	-7.400000e+000	-8.920503e+000	-5.642855e+000
-7.300000000000010e+000	-7.300000e+000	-8.918368e+000	-5.348781e+000
-7.200000000000010e+000	-7.200000e+000	-8.916283e+000	-5.054560e+000
-7.100000000000010e+000	-7.100000e+000	-8.914243e+000	-4.760199e+000
-7.000000000000011e+000	-7.000000e+000	-8.912247e+000	-4.465706e+000
-6.900000000000011e+000	-6.900000e+000	-8.910292e+000	-4.171089e+000
-6.800000000000011e+000	-6.800000e+000	-8.908376e+000	-3.876353e+000
-6.700000000000012e+000	-6.700000e+000	-8.906498e+000	-3.581504e+000
-6.600000000000012e+000	-6.600000e+000	-8.904655e+000	-3.286549e+000
-6.500000000000012e+000	-6.500000e+000	-8.902846e+000	-2.991491e+000
-6.400000000000013e+000	-6.400000e+000	-8.901071e+000	-2.696336e+000
-6.300000000000013e+000	-6.300000e+000	-8.899325e+000	-2.401087e+000
-6.200000000000014e+000	-6.200000e+000	-8.897611e+000	-2.105749e+000
-6.100000000000014e+000	-6.100000e+000	-8.895925e+000	-1.810325e+000
-6.000000000000014e+000	-6.000000e+000	-8.894265e+000	-1.514820e+000
-5.900000000000015e+000	-5.900000e+000	-8.892633e+000	-1.219235e+000
-5.800000000000015e+000	-5.800000e+000	-8.891026e+000	-9.235744e-001
-5.700000000000015e+000	-5.700000e+000	-8.889444e+000	-6.278411e-001
-5.600000000000016e+000	-5.600000e+000	-8.887886e+000	-3.320374e-001
-5.500000000000016e+000	-5.500000e+000	-8.886352e+000	-3.616594e-002
-5.400000000000016e+000	-5.400000e+000	-8.884838e+000	2.597708e-001
-5.300000000000017e+000	-5.300000e+000	-8.883347e+000	5.557707e-001
-5.200000000000017e+000	-5.200000e+000	-8.881876e+000	8.518316e-001
-5.100000000000017e+000	-5.100000e+000	-8.880425e+000	1.147951e+000
-5.000000000000018e+000	-5.000000e+000	-8.878994e+000	1.444128e+000
-4.900000000000018e+000	-4.900000e+000	-8.877582e+000	1.740360e+000
-4.800000000000019e+000	-4.800000e+000	-8.876188e+000	2.036646e+000
-4.700000000000019e+000	-4.700000e+000	-8.874812e+000	2.332983e+000
-4.600000000000019e+000	-4.600000e+000	-8.873453e+000	2.629371e+000
-4.500000000000020e+000	-4.500000e+000	-8.872111e+000	2.925807e+000
-4.400000000000020e+000	-4.400000e+000	-8.870785e+000	3.222287e+000
-4.300000000000020e+000	-4.300000e+000	-8.869395e+000	3.518659e+000
-4.200000000000021e+000	-4.200000e+000	-8.865113e+000	3.809288e+000
-4.100000000000021e+000	-4.100000e+000	-8.827334e+000	4.033288e+000
-4.000000000000021e+000	-4.000000e+000	-8.660267e+000	4.000085e+000
-3.900000000000021e+000	-3.900000e+000	-8.459626e+000	3.900117e+000
-3.800000000000021e+000	-3.800000e+000	-8.258950e+000	3.800114e+000
-3.700000000000021e+000	-3.700000e+000	-8.058262e+000	3.700122e+000
-3.600000000000021e+000	-3.600000e+000	-7.857554e+000	3.600129e+000
-3.500000000000021e+000	-3.500000e+000	-7.656826e+000	3.500137e+000
-3.400000000000021e+000	-3.400000e+000	-7.456078e+000	3.400145e+000
-3.300000000000021e+000	-3.300000e+000	-7.255307e+000	3.300152e+000
-3.200000000000021e+000	-3.200000e+000	-7.054513e+000	3.200160e+000
-3.100000000000021e+000	-3.100000e+000	-6.853693e+000	3.100167e+000
-3.000000000000020e+000	-3.000000e+000	-6.652846e+000	3.000175e+000
-2.900000000000020e+000	-2.900000e+000	-6.451970e+000	2.900182e+000
-2.800000000000020e+000	-2.800000e+000	-6.251064e+000	2.800190e+000
-2.700000000000020e+000	-2.700000e+000	-6.050125e+000	2.700198e+000
-2.600000000000020e+000	-2.600000e+000	-5.849150e+000	2.600206e+000
-2.500000000000020e+000	-2.500000e+000	-5.648137e+000	2.500214e+000
-2.400000000000020e+000	-2.400000e+000	-5.447083e+000	2.400221e+000
-2.300000000000020e+000	-2.300000e+000	-5.245984e+000	2.300229e+000
-2.200000000000020e+000	-2.200000e+000	-5.044836e+000	2.200238e+000
-2.100000000000020e+000	-2.100000e+000	-4.843634e+000	2.100245e+000
-2.000000000000020e+000	-2.000000e+000	-4.642374e+000	2.000254e+000
-1.900000000000020e+000	-1.900000e+000	-4.441050e+000	1.900262e+000
