time	V(vin)	V(vo1)	V(vout)
0.000000000000000e+000	0.000000e+000	-4.273426e-001	4.883348e-004
9.999999960041972e-012	6.283185e-008	-4.273426e-001	4.883348e-004
1.999999992008394e-011	1.256637e-007	-4.273426e-001	4.883349e-004
1.999999992008395e-010	1.256637e-006	-4.273426e-001	4.883378e-004
3.799999984815950e-010	2.387610e-006	-4.273425e-001	4.883444e-004
5.599999977623506e-010	3.518584e-006	-4.273425e-001	4.883547e-004
7.399999970431061e-010	4.649557e-006	-4.273425e-001	4.883687e-004
9.199999963238616e-010	5.780530e-006	-4.273425e-001	4.883864e-004
1.099999995604617e-009	6.911504e-006	-4.273425e-001	4.884078e-004
1.279999994885372e-009	8.042477e-006	-4.273425e-001	4.884329e-004
2.450285704494857e-008	1.539560e-004	-4.273434e-001	4.936256e-004
4.772571409501176e-008	2.998695e-004	-4.273114e-001	5.223675e-004
7.094857114507495e-008	4.457830e-004	-4.272464e-001	5.746587e-004
9.417142819513815e-008	5.916965e-004	-4.271485e-001	6.504992e-004
1.173942852452014e-007	7.376100e-004	-4.270178e-001	7.498890e-004
1.406171422952645e-007	8.835235e-004	-4.268541e-001	8.728280e-004
1.638399993453277e-007	1.029437e-003	-4.266574e-001	1.019316e-003
3.276799986906553e-007	2.058873e-003	-4.244066e-001	2.243922e-003
6.553599973813107e-007	4.117737e-003	-4.161963e-001	4.949241e-003
1.216013687305928e-006	7.640365e-003	-3.912326e-001	9.531418e-003
2.182718421164006e-006	1.371399e-002	-3.211950e-001	1.758241e-002
3.182718421164006e-006	1.999628e-002	-2.137041e-001	2.621495e-002
4.182718421164006e-006	2.627777e-002	-6.655907e-002	3.499169e-002
5.182718421164005e-006	3.255823e-002	1.205726e-001	4.378101e-002
6.182718421164005e-006	3.883740e-002	3.361442e-001	5.150488e-002
6.969956977960072e-006	4.377953e-002	4.793522e-001	5.313852e-002
7.892406963116562e-006	4.956913e-002	5.638900e-001	4.935352e-002
8.289438690596168e-006	5.206053e-002	5.713826e-001	4.986031e-002
8.660574072628100e-006	5.438914e-002	5.725197e-001	5.334538e-002
9.062061830834597e-006	5.690785e-002	5.767393e-001	5.635535e-002
9.514730130117589e-006	5.974721e-002	5.808021e-001	5.887680e-002
9.929775941667106e-006	6.235015e-002	5.846030e-001	6.157929e-002
1.039301068652884e-005	6.525481e-002	5.887511e-001	6.443681e-002
1.089841133808008e-005	6.842323e-002	5.931422e-001	6.758662e-002
1.334440397204479e-005	8.374716e-002	6.138672e-001	8.289884e-002
1.920154682918764e-005	1.204765e-001	6.589053e-001	1.196002e-001
2.505868968633049e-005	1.569204e-001	7.026224e-001	1.560221e-001
3.091583254347334e-005	1.930790e-001	7.450184e-001	1.921646e-001
3.677297540061619e-005	2.289522e-001	7.860935e-001	2.280276e-001
4.263011825775904e-005	2.645399e-001	8.258475e-001	2.636111e-001
4.848726111490190e-005	2.998423e-001	8.642805e-001	2.989152e-001
5.434440397204473e-005	3.348593e-001	9.013925e-001	3.339398e-001
6.677297540061613e-005	4.083379e-001	9.796067e-001	4.074285e-001
7.920154682918753e-005	4.783241e-001	1.053799e+000	4.774281e-001
9.163011825775893e-005	5.448179e-001	1.123968e+000	5.439384e-001
1.040586896863303e-004	6.078195e-001	1.190116e+000	6.069596e-001
1.164872611149017e-004	6.673287e-001	1.252241e+000	6.664917e-001
1.289158325434731e-004	7.233455e-001	1.310343e+000	7.225345e-001
1.413444039720445e-004	7.758701e-001	1.364423e+000	7.750882e-001
1.732015468291877e-004	8.872339e-001	1.479240e+000	8.865421e-001
2.050586896863310e-004	9.603793e-001	1.554688e+000	9.597768e-001
2.369158325434742e-004	9.953061e-001	1.590767e+000	9.947922e-001
2.687729754006175e-004	9.920145e-001	1.587477e+000	9.915884e-001
3.006301182577608e-004	9.505044e-001	1.544818e+000	9.501654e-001
3.324872611149040e-004	8.707758e-001	1.462791e+000	8.705231e-001
3.643444039720471e-004	7.528288e-001	1.341395e+000	7.526615e-001
3.764872611149046e-004	6.995687e-001	1.286591e+000	6.994279e-001
3.886301182577620e-004	6.431146e-001	1.228038e+000	6.429969e-001
4.007729754006195e-004	5.834663e-001	1.165734e+000	5.833685e-001
4.129158325434769e-004	5.206239e-001	1.099681e+000	5.205428e-001
4.250586896863343e-004	4.545874e-001	1.029879e+000	4.545197e-001
4.372015468291918e-004	3.853567e-001	9.563264e-001	3.852993e-001
4.493444039720492e-004	3.129320e-001	8.790244e-001	3.128814e-001
4.547729754006207e-004	2.802638e-001	8.442381e-001	2.802184e-001
4.602015468291923e-004	2.473660e-001	8.082524e-001	2.473204e-001
4.656301182577639e-004	2.142387e-001	7.710673e-001	2.141876e-001
4.710586896863354e-004	1.808818e-001	7.326827e-001	1.808199e-001
4.764872611149070e-004	1.472953e-001	6.930988e-001	1.472173e-001
4.819158325434786e-004	1.134793e-001	6.523154e-001	1.133799e-001
4.873444039720501e-004	7.943368e-002	6.103325e-001	7.930760e-002
4.884872611149073e-004	7.227268e-002	6.010327e-001	7.214009e-002
4.896301182577645e-004	6.510887e-002	5.912474e-001	6.496295e-002
4.907729754006216e-004	5.794226e-002	5.809764e-001	5.777618e-002
4.919158325434788e-004	5.077285e-002	5.702198e-001	5.057978e-002
4.930586896863359e-004	4.360064e-002	5.589777e-001	4.337375e-002
4.942015468291931e-004	3.642562e-002	5.472499e-001	3.615809e-002
4.953444039720503e-004	2.924780e-002	5.350366e-001	2.893279e-002
4.963444039720503e-004	2.296677e-002	5.228998e-001	2.257973e-002
4.973444039720503e-004	1.668483e-002	5.091163e-001	1.618315e-002
4.983444039720503e-004	1.040223e-002	4.925375e-001	9.701848e-003
4.993444039720504e-004	4.119220e-003	4.706286e-001	3.030439e-003
5.003444039720504e-004	-2.163952e-003	4.377322e-001	-4.066300e-003
5.013444039720504e-004	-8.447039e-003	3.842327e-001	-1.183976e-002
5.023444039720504e-004	-1.472979e-002	2.995587e-001	-2.026075e-002
5.033444039720504e-004	-2.101196e-002	1.770889e-001	-2.899368e-002
5.043444039720505e-004	-2.729331e-002	1.515544e-002	-3.777971e-002
5.053444039720505e-004	-3.357357e-002	-1.854557e-001	-4.652794e-002
5.063444039720505e-004	-3.985251e-002	-4.089848e-001	-4.892495e-002
5.070726878134911e-004	-4.442438e-002	-5.475238e-001	-3.012619e-002
5.077899243401534e-004	-4.892600e-002	-6.252619e-001	1.148658e-002
5.082607012805878e-004	-5.188021e-002	-6.447895e-001	3.599631e-002
5.086305014660546e-004	-5.420047e-002	-6.517490e-001	4.402770e-002
5.096034458348614e-004	-6.030362e-002	-6.677648e-001	5.168679e-002
5.114910854898744e-004	-7.214203e-002	-6.961145e-001	6.381850e-002
5.133787251448874e-004	-8.396615e-002	-7.239029e-001	7.573272e-002
5.152663647999004e-004	-9.577598e-002	-7.511298e-001	8.742945e-002
5.171540044549135e-004	-1.075715e-001	-7.777953e-001	9.890868e-002
5.190416441099265e-004	-1.193528e-001	-8.038994e-001	1.101704e-001
5.209292837649394e-004	-1.311197e-001	-8.294421e-001	1.212147e-001
5.228169234199524e-004	-1.428724e-001	-8.544233e-001	1.320414e-001
5.248169234199525e-004	-1.552982e-001	-8.796204e-001	1.415820e-001
5.258169234199525e-004	-1.615021e-001	-8.911242e-001	1.447928e-001
5.268169234199525e-004	-1.676995e-001	-9.013785e-001	1.460709e-001
5.278169234199526e-004	-1.738904e-001	-9.101883e-001	1.449062e-001
5.288169234199526e-004	-1.800744e-001	-9.177449e-001	1.414178e-001
5.298169234199526e-004	-1.862513e-001	-9.244249e-001	1.362117e-001
5.308169234199526e-004	-1.924208e-001	-9.305438e-001	1.298994e-001
5.328169234199527e-004	-2.047368e-001	-9.417770e-001	1.153659e-001
5.348169234199527e-004	-2.170205e-001	-9.522719e-001	9.947019e-002
5.358169234199528e-004	-2.231496e-001	-9.582545e-001	9.178526e-002
5.361540664789205e-004	-2.252140e-001	-9.640176e-001	9.071385e-002
5.363075998407403e-004	-2.261538e-001	-9.723045e-001	9.333857e-002
5.364498521204583e-004	-2.270244e-001	-9.854619e-001	1.014620e-001
5.365913849223806e-004	-2.278903e-001	-9.997369e-001	1.158038e-001
5.367546244730877e-004	-2.288889e-001	-1.014045e+000	1.367888e-001
5.369120537589022e-004	-2.298517e-001	-1.024495e+000	1.569513e-001
5.371440093955238e-004	-2.312698e-001	-1.035143e+000	1.812338e-001
5.374610113734059e-004	-2.332072e-001	-1.044860e+000	2.036067e-001
5.378550854405014e-004	-2.356142e-001	-1.053062e+000	2.192125e-001
5.382697883927094e-004	-2.381457e-001	-1.059629e+000	2.273865e-001
5.387768648725340e-004	-2.412389e-001	-1.066618e+000	2.326412e-001
5.417323275090887e-004	-2.592328e-001	-1.104632e+000	2.512286e-001
5.446877901456436e-004	-2.771220e-001	-1.142305e+000	2.696012e-001
5.476432527821983e-004	-2.949066e-001	-1.179639e+000	2.877590e-001
5.505987154187531e-004	-3.125864e-001	-1.216632e+000	3.057021e-001
5.535541780553079e-004	-3.301615e-001	-1.253284e+000	3.234304e-001
5.565096406918627e-004	-3.476319e-001	-1.289597e+000	3.409440e-001
5.594651033284174e-004	-3.649976e-001	-1.325569e+000	3.582428e-001
5.723222461855605e-004	-4.400029e-001	-1.480165e+000	4.335700e-001
5.851793890427038e-004	-5.110558e-001	-1.626359e+000	5.049659e-001
5.980365318998469e-004	-5.781566e-001	-1.764150e+000	5.724304e-001
6.108936747569901e-004	-6.413051e-001	-1.893538e+000	6.359635e-001
6.237508176141333e-004	-7.005013e-001	-2.014523e+000	6.955652e-001
6.366079604712765e-004	-7.557453e-001	-2.127106e+000	7.512355e-001
6.494651033284196e-004	-8.070370e-001	-2.231286e+000	8.029745e-001
6.798936747569918e-004	-9.053766e-001	-2.431381e+000	9.026512e-001
7.103222461855640e-004	-9.687226e-001	-2.560448e+000	9.673294e-001
7.407508176141362e-004	-9.970750e-001	-2.618486e+000	9.970091e-001
7.711793890427083e-004	-9.904338e-001	-2.605497e+000	9.916901e-001
8.016079604712805e-004	-9.487989e-001	-2.521479e+000	9.513726e-001
8.320365318998527e-004	-8.721704e-001	-2.366434e+000	8.760565e-001
8.624651033284248e-004	-7.605484e-001	-2.140360e+000	7.657418e-001
8.746079604712823e-004	-7.079545e-001	-2.033771e+000	7.135531e-001
8.867508176141397e-004	-6.521099e-001	-1.920152e+000	6.581029e-001
8.988936747569971e-004	-5.930145e-001	-1.799504e+000	5.993914e-001
9.110365318998545e-004	-5.306683e-001	-1.671826e+000	5.374184e-001
9.231793890427120e-004	-4.650713e-001	-1.537118e+000	4.721840e-001
9.353222461855695e-004	-3.962235e-001	-1.395380e+000	4.036881e-001
9.474651033284269e-004	-3.241248e-001	-1.246612e+000	3.319308e-001
9.507508176141412e-004	-3.045057e-001	-1.205779e+000	3.122498e-001
9.540365318998556e-004	-2.847780e-001	-1.164650e+000	2.926142e-001
9.573222461855699e-004	-2.649416e-001	-1.123227e+000	2.730242e-001
9.606079604712844e-004	-2.449966e-001	-1.081509e+000	2.534797e-001
9.638936747569987e-004	-2.249430e-001	-1.039496e+000	2.339808e-001
9.671793890427131e-004	-2.047808e-001	-9.971889e-001	2.145274e-001
9.704651033284274e-004	-1.845099e-001	-9.545869e-001	1.951195e-001
9.724651033284275e-004	-1.721451e-001	-9.297175e-001	1.852237e-001
9.734651033284275e-004	-1.659524e-001	-9.185136e-001	1.820954e-001
9.742084009355266e-004	-1.613450e-001	-9.114915e-001	1.817240e-001
9.748734965988134e-004	-1.572195e-001	-9.066387e-001	1.837844e-001
9.759737533575670e-004	-1.503886e-001	-9.004790e-001	1.912114e-001
9.824347756775709e-004	-1.101416e-001	-8.676378e-001	2.468431e-001
9.827634970495244e-004	-1.080886e-001	-8.653589e-001	2.489758e-001
9.831317677543095e-004	-1.057879e-001	-8.598484e-001	2.499233e-001
9.833410253838903e-004	-1.044804e-001	-8.457301e-001	2.440030e-001
9.835985166331482e-004	-1.028713e-001	-8.122355e-001	2.200999e-001
9.837416531836174e-004	-1.019766e-001	-7.954803e-001	1.972766e-001
9.839155906675365e-004	-1.008894e-001	-7.832597e-001	1.667124e-001
9.840540927781513e-004	-1.000236e-001	-7.768466e-001	1.477015e-001
9.842098883652908e-004	-9.904952e-002	-7.718710e-001	1.335305e-001
9.844854135072879e-004	-9.732671e-002	-7.655552e-001	1.184017e-001
9.847693461480357e-004	-9.555102e-002	-7.603550e-001	1.101087e-001
9.852318678425626e-004	-9.265781e-002	-7.531106e-001	1.036726e-001
9.858799595791608e-004	-8.860249e-002	-7.435753e-001	9.827683e-002
9.874368382841638e-004	-7.885239e-002	-7.217088e-001	8.826360e-002
9.889937169891667e-004	-6.909707e-002	-6.989833e-001	7.836217e-002
9.905505956941698e-004	-5.933655e-002	-6.753986e-001	6.857252e-002
9.921074743991728e-004	-4.957082e-002	-6.509550e-001	5.889467e-002
9.936643531041759e-004	-3.979987e-002	-6.256522e-001	4.932861e-002
9.952212318091788e-004	-3.002371e-002	-5.994904e-001	3.987433e-002
9.967781105141818e-004	-2.024235e-002	-5.724695e-001	3.053185e-002
9.977781105141817e-004	-1.396009e-002	-5.526260e-001	2.484375e-002
9.987781105141817e-004	-7.677283e-003	-5.301164e-001	1.961192e-002
9.997781105141816e-004	-1.394172e-003	-5.023967e-001	1.543795e-002
1.000778110514182e-003	4.888993e-003	-4.634645e-001	1.377244e-002
1.001778110514181e-003	1.117197e-002	-4.029836e-001	1.633372e-002
1.002778110514181e-003	1.745450e-002	-3.102597e-001	2.295534e-002
1.003778110514181e-003	2.373634e-002	-1.793041e-001	3.144689e-002
1.004778110514181e-003	3.001724e-002	-8.551029e-003	4.022526e-002
1.005778110514181e-003	3.629696e-002	2.011905e-001	4.892663e-002
1.006778110514181e-003	4.257525e-002	4.267004e-001	5.514563e-002
1.007363261301564e-003	4.624823e-002	5.272819e-001	5.383805e-002
1.007834263791238e-003	4.920426e-002	5.617526e-001	5.088623e-002
1.008362823038032e-003	5.252099e-002	5.702755e-001	5.154217e-002
1.008749485251145e-003	5.494695e-002	5.737002e-001	5.418692e-002
1.009163818683443e-003	5.754616e-002	5.776760e-001	5.681980e-002
1.009726804564867e-003	6.107728e-002	5.827433e-001	6.025672e-002
1.013390136728720e-003	8.406370e-002	6.132461e-001	8.321503e-002
1.017053468892574e-003	1.069754e-001	6.427851e-001	1.061032e-001
1.020716801056428e-003	1.298123e-001	6.713601e-001	1.289214e-001
1.024380133220282e-003	1.525744e-001	6.989713e-001	1.516694e-001
1.028043465384135e-003	1.752618e-001	7.256186e-001	1.743473e-001
1.031706797547989e-003	1.978744e-001	7.513020e-001	1.969552e-001
1.035370129711843e-003	2.204122e-001	7.760215e-001	2.194929e-001
1.046084415426127e-003	2.862191e-001	8.479321e-001	2.852995e-001
