time	V(vin)	V(vout)	V(n002)
0.000000000000000e+000	0.000000e+000	8.943978e+000	3.152111e+000
3.006919653541576e-006	1.890677e-001	8.943979e+000	3.152268e+000
6.013839307083153e-006	3.779062e-001	8.943980e+000	3.152424e+000
9.020758960624730e-006	5.665154e-001	8.943981e+000	3.152581e+000
1.202767861416631e-005	7.548955e-001	8.943982e+000	3.152737e+000
1.503459826770788e-005	9.430464e-001	8.943983e+000	3.152893e+000
1.804151792124946e-005	1.130968e+000	8.943984e+000	3.153048e+000
2.104843757479103e-005	1.318660e+000	8.943985e+000	3.153204e+000
3.011651793193389e-005	1.885402e+000	8.943988e+000	3.153673e+000
3.918459828907675e-005	2.441612e+000	8.943990e+000	3.154134e+000
4.825267864621961e-005	2.987291e+000	8.943993e+000	3.154586e+000
5.732075900336247e-005	3.522440e+000	8.943996e+000	3.155029e+000
6.638883936050532e-005	4.047058e+000	8.943999e+000	3.155464e+000
7.545691971764820e-005	4.561146e+000	8.944001e+000	3.155890e+000
8.452500007479103e-005	5.064703e+000	8.944004e+000	3.156307e+000
9.429062507479103e-005	5.583914e+000	8.944004e+000	3.156737e+000
1.046666016372910e-004	6.112505e+000	8.942065e+000	3.156857e+000
1.058873047622910e-004	6.173027e+000	8.938233e+000	3.156276e+000
1.065943469511713e-004	6.207916e+000	8.933516e+000	3.155528e+000
1.072938824154288e-004	6.242314e+000	8.924392e+000	3.154053e+000
1.080323624010497e-004	6.278496e+000	8.906007e+000	3.151048e+000
1.088599602748128e-004	6.318884e+000	8.868784e+000	3.144922e+000
1.092798507446429e-004	6.339310e+000	8.829693e+000	3.138453e+000
1.097519874757823e-004	6.362225e+000	8.744841e+000	3.124373e+000
1.101911158978479e-004	6.383488e+000	8.615714e+000	3.102917e+000
1.106813061655611e-004	6.407166e+000	8.419157e+000	3.070237e+000
1.113542408147210e-004	6.439572e+000	8.097476e+000	3.016740e+000
1.120271754638809e-004	6.471862e+000	7.773858e+000	2.962920e+000
1.127001101130409e-004	6.504036e+000	7.448304e+000	2.908778e+000
1.133730447622008e-004	6.536093e+000	7.120813e+000	2.854314e+000
1.140459794113607e-004	6.568034e+000	6.791386e+000	2.799526e+000
1.147189140605206e-004	6.599859e+000	6.460022e+000	2.744417e+000
1.153918487096806e-004	6.631567e+000	6.126721e+000	2.688984e+000
1.195891374456422e-004	6.826630e+000	4.081240e+000	2.348796e+000
1.244719499456422e-004	7.047568e+000	1.717782e+000	1.955722e+000
1.266731343906043e-004	7.145011e+000	6.596997e-001	1.779748e+000
1.277897811420286e-004	7.193922e+000	1.935839e-001	1.702231e+000
1.285043824000948e-004	7.225037e+000	4.641681e-002	1.677769e+000
1.294270577677023e-004	7.264996e+000	2.518871e-002	1.674270e+000
1.300249108373401e-004	7.290758e+000	2.516958e-002	1.674289e+000
1.307408780175206e-004	7.321473e+000	2.241628e-002	1.673856e+000
1.317403340132303e-004	7.364103e+000	2.303002e-002	1.673993e+000
1.329810656406219e-004	7.416620e+000	2.255132e-002	1.673957e+000
1.354625288954051e-004	7.520298e+000	2.270448e-002	1.674068e+000
1.390348283382533e-004	7.666336e+000	2.262477e-002	1.674175e+000
1.536832658382534e-004	8.224020e+000	2.261389e-002	1.674634e+000
1.683317033382534e-004	8.712088e+000	2.258813e-002	1.675034e+000
1.829801408382534e-004	9.126406e+000	2.257426e-002	1.675375e+000
1.976285783382534e-004	9.463468e+000	2.255191e-002	1.675650e+000
2.122770158382534e-004	9.720419e+000	2.254017e-002	1.675860e+000
2.269254533382534e-004	9.895085e+000	2.253575e-002	1.676004e+000
2.415738908382534e-004	9.985989e+000	2.253260e-002	1.676079e+000
2.562223283382534e-004	9.992358e+000	2.252783e-002	1.676084e+000
2.708707658382534e-004	9.914142e+000	2.252339e-002	1.676018e+000
2.855192033382534e-004	9.751999e+000	2.251815e-002	1.675883e+000
3.001676408382535e-004	9.507305e+000	2.251253e-002	1.675679e+000
3.148160783382535e-004	9.182130e+000	2.250642e-002	1.675409e+000
3.294645158382535e-004	8.779226e+000	2.249951e-002	1.675075e+000
3.441129533382535e-004	8.302005e+000	2.249223e-002	1.674679e+000
3.587613908382535e-004	7.754506e+000	2.248396e-002	1.674224e+000
3.734098283382535e-004	7.141363e+000	2.247541e-002	1.673715e+000
3.880582658382535e-004	6.467768e+000	2.246584e-002	1.673156e+000
4.027067033382535e-004	5.739422e+000	2.245608e-002	1.672552e+000
4.173551408382536e-004	4.962491e+000	2.244091e-002	1.671906e+000
4.320035783382536e-004	4.143551e+000	2.241978e-002	1.671225e+000
4.368863908382536e-004	3.862425e+000	2.268096e-002	1.671035e+000
4.417692033382536e-004	3.577664e+000	2.363475e-002	1.670957e+000
4.423795549007536e-004	3.541827e+000	2.474540e-002	1.671110e+000
4.436002580257535e-004	3.469996e+000	3.050173e-002	1.671998e+000
4.441922685347899e-004	3.435086e+000	3.649312e-002	1.672955e+000
4.447578164284031e-004	3.401693e+000	4.816875e-002	1.674852e+000
4.455040189939651e-004	3.357566e+000	7.630932e-002	1.679464e+000
4.460505161855554e-004	3.325202e+000	1.171641e-001	1.686207e+000
4.464862650895426e-004	3.299369e+000	1.832213e-001	1.697157e+000
4.469112447956265e-004	3.274150e+000	2.955412e-001	1.715811e+000
4.473569909918796e-004	3.247674e+000	4.639268e-001	1.743801e+000
4.479120674558594e-004	3.214668e+000	7.140167e-001	1.785384e+000
4.484341973702019e-004	3.183586e+000	9.633172e-001	1.826839e+000
4.489235439705721e-004	3.154424e+000	1.199337e+000	1.866086e+000
4.498173095814857e-004	3.101085e+000	1.629313e+000	1.937586e+000
4.516048408033129e-004	2.994115e+000	2.490338e+000	2.080764e+000
4.551799032469671e-004	2.779054e+000	4.224786e+000	2.369182e+000
4.600627157469671e-004	2.483082e+000	6.573286e+000	2.759705e+000
4.649455282469671e-004	2.184772e+000	8.593470e+000	3.095598e+000
4.667913592407726e-004	2.071453e+000	8.929700e+000	3.151450e+000
4.709386490723317e-004	1.815487e+000	8.935567e+000	3.152215e+000
4.750859389038907e-004	1.558701e+000	8.940109e+000	3.152758e+000
4.792332287354498e-004	1.301094e+000	8.943326e+000	3.153080e+000
4.833805185670088e-004	1.042666e+000	8.945217e+000	3.153180e+000
4.875278083985678e-004	7.834172e-001	8.945783e+000	3.153060e+000
4.916750982301268e-004	5.233475e-001	8.945023e+000	3.152718e+000
4.958223880616859e-004	2.624570e-001	8.942938e+000	3.152156e+000
5.055880130616859e-004	-3.510331e-001	8.943097e+000	3.151674e+000
