time	V(vin)	V(vout)	V(n002)
0.000000000000000e+000	0.000000e+000	8.538260e+000	3.089747e+000
1.249999976542833e-009	7.853981e-005	8.538260e+000	3.089747e+000
2.499999953085665e-009	1.570796e-004	8.538260e+000	3.089747e+000
3.749999929628498e-009	2.356194e-004	8.538260e+000	3.089748e+000
4.999999906171331e-009	3.141593e-004	8.538261e+000	3.089748e+000
6.249999882714163e-009	3.926991e-004	8.538261e+000	3.089748e+000
7.499999859256997e-009	4.712389e-004	8.538261e+000	3.089748e+000
8.749999835799827e-009	5.497787e-004	8.538261e+000	3.089748e+000
1.749999967159965e-008	1.099557e-003	8.538261e+000	3.089748e+000
3.499999934319931e-008	2.199115e-003	8.538260e+000	3.089748e+000
2.799999947455945e-007	1.759291e-002	8.538260e+000	3.089747e+000
4.449687471476085e-006	2.799470e-001	8.538260e+000	3.089747e+000
8.619374948206575e-006	5.416766e-001	8.538260e+000	3.089747e+000
1.278906242493707e-005	8.027817e-001	8.538260e+000	3.089747e+000
1.695874990166756e-005	1.063262e+000	8.538260e+000	3.089747e+000
2.112843737839805e-005	1.323118e+000	8.538260e+000	3.089747e+000
2.529812485512854e-005	1.582350e+000	8.538260e+000	3.089747e+000
2.946781233185902e-005	1.840957e+000	8.538260e+000	3.089747e+000
4.997562483185902e-005	3.088713e+000	8.538260e+000	3.089747e+000
7.048343733185902e-005	4.285258e+000	8.538260e+000	3.089747e+000
9.099124983185904e-005	5.410750e+000	8.538260e+000	3.089747e+000
1.005397071490965e-004	5.905253e+000	8.538273e+000	3.089749e+000
1.023098265561184e-004	5.994643e+000	8.538463e+000	3.089759e+000
1.055048161420171e-004	6.154102e+000	8.552941e+000	3.091955e+000
1.059446300434514e-004	6.175860e+000	8.563851e+000	3.093701e+000
1.062841475744374e-004	6.192624e+000	8.580243e+000	3.096243e+000
1.070050354000249e-004	6.228126e+000	8.651969e+000	3.108447e+000
1.075655252859989e-004	6.255639e+000	8.730254e+000	3.121728e+000
1.081680346774060e-004	6.285129e+000	8.817159e+000	3.136280e+000
1.083956607752985e-004	6.296247e+000	8.847101e+000	3.141621e+000
1.087092770135418e-004	6.311543e+000	8.876256e+000	3.147071e+000
1.089029514902079e-004	6.320978e+000	8.875427e+000	3.147325e+000
